"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"USW00014764","43.64222","-70.30444","13.7","2013-06-27","58","62","54"
"USW00014764","43.64222","-70.30444","13.7","2013-06-28","59","65","56"
"USW00014764","43.64222","-70.30444","13.7","2013-06-29","67","75","63"
"USW00014764","43.64222","-70.30444","13.7","2013-06-30","71","83","62"
"USW00014764","43.64222","-70.30444","13.7","2013-07-01","70","78","64"
"USW00014764","43.64222","-70.30444","13.7","2013-07-02","63","66","56"
"USW00014764","43.64222","-70.30444","13.7","2013-07-03","63","75","57"
"USW00014764","43.64222","-70.30444","13.7","2013-07-04","75","87","64"
"USW00014764","43.64222","-70.30444","13.7","2013-07-05","83","93","73"
"USW00014764","43.64222","-70.30444","13.7","2013-07-06","82","88","69"
"USW00014764","43.64222","-70.30444","13.7","2013-07-07","77","88","67"
"USW00014764","43.64222","-70.30444","13.7","2013-07-08","72","74","64"
"USW00014764","43.64222","-70.30444","13.7","2013-07-09","65","70","61"
"USW00014764","43.64222","-70.30444","13.7","2013-07-10","62","67","60"
"USW00014764","43.64222","-70.30444","13.7","2013-07-11","71","80","66"
"USW00014764","43.64222","-70.30444","13.7","2013-07-12","71","77","63"
"USW00014764","43.64222","-70.30444","13.7","2013-07-13","69","79","59"
"USW00014764","43.64222","-70.30444","13.7","2013-07-14","74","84","64"
"USW00014764","43.64222","-70.30444","13.7","2013-07-15","80","91","70"
"USW00014764","43.64222","-70.30444","13.7","2013-07-16","80","90","71"
"USW00014764","43.64222","-70.30444","13.7","2013-07-17","77","84","68"
"USW00014764","43.64222","-70.30444","13.7","2013-07-18","76","83","69"
"USW00014764","43.64222","-70.30444","13.7","2013-07-19","80","95","69"
"USW00014764","43.64222","-70.30444","13.7","2013-07-20","83","91","70"
"USW00014764","43.64222","-70.30444","13.7","2013-07-21","71","75","63"
"USW00014764","43.64222","-70.30444","13.7","2013-07-22","67","72","63"
"USW00014764","43.64222","-70.30444","13.7","2013-07-23","65","70","63"
"USW00014764","43.64222","-70.30444","13.7","2013-07-24","72","86","58"
"USW00014764","43.64222","-70.30444","13.7","2013-07-25","63","72","56"
"USW00014764","43.64222","-70.30444","13.7","2013-07-26","65","72","62"
"USW00014764","43.64222","-70.30444","13.7","2013-07-27","71","81","61"
"USW00014764","43.64222","-70.30444","13.7","2013-07-28","65","68","60"
"USW00014764","43.64222","-70.30444","13.7","2013-07-29","66","75","60"
"USW00014764","43.64222","-70.30444","13.7","2013-07-30","69","82","59"
"USW00014764","43.64222","-70.30444","13.7","2013-07-31","68","79","57"
"USW00014764","43.64222","-70.30444","13.7","2013-08-01","68","76","57"
"USW00014764","43.64222","-70.30444","13.7","2013-08-02","69","78","61"
"USW00014764","43.64222","-70.30444","13.7","2013-08-03","68","80","58"
"USW00014764","43.64222","-70.30444","13.7","2013-08-04","67","77","55"
"USW00014764","43.64222","-70.30444","13.7","2013-08-05","64","74","52"
"USW00014764","43.64222","-70.30444","13.7","2013-08-06","63","75","49"
"USW00014764","43.64222","-70.30444","13.7","2013-08-07","64","75","51"
"USW00014764","43.64222","-70.30444","13.7","2013-08-08","68","76","63"
"USW00014764","43.64222","-70.30444","13.7","2013-08-09","69","71","66"
"USW00014764","43.64222","-70.30444","13.7","2013-08-10","72","81","57"
"USW00014764","43.64222","-70.30444","13.7","2013-08-11","65","78","52"
"USW00014764","43.64222","-70.30444","13.7","2013-08-12","66","78","54"
"USW00014764","43.64222","-70.30444","13.7","2013-08-13","66","73","58"
"USW00014764","43.64222","-70.30444","13.7","2013-08-14","68","77","54"
"USW00014764","43.64222","-70.30444","13.7","2013-08-15","64","76","50"
"USW00014764","43.64222","-70.30444","13.7","2013-08-16","64","74","53"
"USW00014764","43.64222","-70.30444","13.7","2013-08-17","66","77","55"
"USW00014764","43.64222","-70.30444","13.7","2013-08-18","65","75","54"
"USW00014764","43.64222","-70.30444","13.7","2013-08-19","71","83","56"
"USW00014764","43.64222","-70.30444","13.7","2013-08-20","72","83","61"
"USW00014764","43.64222","-70.30444","13.7","2013-08-21","72","84","61"
"USW00014764","43.64222","-70.30444","13.7","2013-08-22","75","89","64"
"USW00014764","43.64222","-70.30444","13.7","2013-08-23","74","80","58"
"USW00014764","43.64222","-70.30444","13.7","2013-08-24","65","78","50"
"USW00014764","43.64222","-70.30444","13.7","2013-08-25","64","77","52"
"USW00014764","43.64222","-70.30444","13.7","2013-08-26","68","82","62"
"USW00014764","43.64222","-70.30444","13.7","2013-08-27","72","84","63"
"USW00014764","43.64222","-70.30444","13.7","2013-08-28","69","78","62"
"USW00014764","43.64222","-70.30444","13.7","2013-08-29","66","69","60"
"USW00014764","43.64222","-70.30444","13.7","2013-08-30","68","80","61"
"USW00014764","43.64222","-70.30444","13.7","2013-08-31","72","82","67"
"USW00014764","43.64222","-70.30444","13.7","2013-09-01","73","82","66"
"USW00014764","43.64222","-70.30444","13.7","2013-09-02","67","70","62"
"USW00014764","43.64222","-70.30444","13.7","2013-09-03","70","76","62"
"USW00014764","43.64222","-70.30444","13.7","2013-09-04","69","80","58"
"USW00014764","43.64222","-70.30444","13.7","2013-09-05","63","66","49"
"USW00014764","43.64222","-70.30444","13.7","2013-09-06","56","68","44"
"USW00014764","43.64222","-70.30444","13.7","2013-09-07","62","79","48"
"USW00014764","43.64222","-70.30444","13.7","2013-09-08","63","69","45"
"USW00014764","43.64222","-70.30444","13.7","2013-09-09","54","69","40"
"USW00014764","43.64222","-70.30444","13.7","2013-09-10","60","66","54"
"USW00014764","43.64222","-70.30444","13.7","2013-09-11","74","93","61"
"USW00014764","43.64222","-70.30444","13.7","2013-09-12","71","78","65"
"USW00014764","43.64222","-70.30444","13.7","2013-09-13","66","72","57"
"USW00014764","43.64222","-70.30444","13.7","2013-09-14","61","71","52"
"USW00014764","43.64222","-70.30444","13.7","2013-09-15","57","66","46"
"USW00014764","43.64222","-70.30444","13.7","2013-09-16","59","68","44"
"USW00014764","43.64222","-70.30444","13.7","2013-09-17","52","65","41"
"USW00014764","43.64222","-70.30444","13.7","2013-09-18","55","70","42"
"USW00014764","43.64222","-70.30444","13.7","2013-09-19","58","73","44"
"USW00014764","43.64222","-70.30444","13.7","2013-09-20","60","74","47"
"USW00014764","43.64222","-70.30444","13.7","2013-09-21","59","66","53"
"USW00014764","43.64222","-70.30444","13.7","2013-09-22","65","71","48"
"USW00014764","43.64222","-70.30444","13.7","2013-09-23","52","61","42"
"USW00014764","43.64222","-70.30444","13.7","2013-09-24","49","61","38"
"USW00014764","43.64222","-70.30444","13.7","2013-09-25","52","63","42"
"USW00014764","43.64222","-70.30444","13.7","2013-09-26","56","66","44"
"USW00014764","43.64222","-70.30444","13.7","2013-09-27","60","71","53"
"USW00014764","43.64222","-70.30444","13.7","2013-09-28","58","71","46"
"USW00014764","43.64222","-70.30444","13.7","2013-09-29","53","64","43"
"USW00014764","43.64222","-70.30444","13.7","2013-09-30","50","61","40"
"USW00014764","43.64222","-70.30444","13.7","2013-10-01","58","75","44"
"USW00014764","43.64222","-70.30444","13.7","2013-10-02","63","80","50"
"USW00014764","43.64222","-70.30444","13.7","2013-10-03","63","75","47"
"USW00014764","43.64222","-70.30444","13.7","2013-10-04","59","72","47"
"USW00014764","43.64222","-70.30444","13.7","2013-10-05","57","61","51"
"USW00014764","43.64222","-70.30444","13.7","2013-10-06","53","55","50"
"USW00014764","43.64222","-70.30444","13.7","2013-10-07","58","66","54"
"USW00014764","43.64222","-70.30444","13.7","2013-10-08","59","63","40"
"USW00014764","43.64222","-70.30444","13.7","2013-10-09","48","59","35"
"USW00014764","43.64222","-70.30444","13.7","2013-10-10","48","64","36"
"USW00014764","43.64222","-70.30444","13.7","2013-10-11","54","67","42"
"USW00014764","43.64222","-70.30444","13.7","2013-10-12","52","57","45"
"USW00014764","43.64222","-70.30444","13.7","2013-10-13","51","58","39"
"USW00014764","43.64222","-70.30444","13.7","2013-10-14","48","60","36"
"USW00014764","43.64222","-70.30444","13.7","2013-10-15","56","63","51"
"USW00014764","43.64222","-70.30444","13.7","2013-10-16","56","58","54"
"USW00014764","43.64222","-70.30444","13.7","2013-10-17","59","73","51"
"USW00014764","43.64222","-70.30444","13.7","2013-10-18","59","68","51"
"USW00014764","43.64222","-70.30444","13.7","2013-10-19","54","64","41"
"USW00014764","43.64222","-70.30444","13.7","2013-10-20","56","62","45"
"USW00014764","43.64222","-70.30444","13.7","2013-10-21","50","64","38"
"USW00014764","43.64222","-70.30444","13.7","2013-10-22","54","60","42"
"USW00014764","43.64222","-70.30444","13.7","2013-10-23","46","53","33"
"USW00014764","43.64222","-70.30444","13.7","2013-10-24","46","53","37"
"USW00014764","43.64222","-70.30444","13.7","2013-10-25","43","50","31"
"USW00014764","43.64222","-70.30444","13.7","2013-10-26","39","52","26"
"USW00014764","43.64222","-70.30444","13.7","2013-10-27","48","56","36"
"USW00014764","43.64222","-70.30444","13.7","2013-10-28","43","58","32"
"USW00014764","43.64222","-70.30444","13.7","2013-10-29","37","47","24"
"USW00014764","43.64222","-70.30444","13.7","2013-10-30","37","50","27"
"USW00014764","43.64222","-70.30444","13.7","2013-10-31","38","57","27"
"USW00014764","43.64222","-70.30444","13.7","2013-11-01","60","69","55"
"USW00014764","43.64222","-70.30444","13.7","2013-11-02","57","65","42"
"USW00014764","43.64222","-70.30444","13.7","2013-11-03","43","46","31"
"USW00014764","43.64222","-70.30444","13.7","2013-11-04","34","42","22"
"USW00014764","43.64222","-70.30444","13.7","2013-11-05","33","47","22"
"USW00014764","43.64222","-70.30444","13.7","2013-11-06","44","55","36"
"USW00014764","43.64222","-70.30444","13.7","2013-11-07","54","61","42"
"USW00014764","43.64222","-70.30444","13.7","2013-11-08","41","48","31"
"USW00014764","43.64222","-70.30444","13.7","2013-11-09","38","46","32"
"USW00014764","43.64222","-70.30444","13.7","2013-11-10","40","44","35"
"USW00014764","43.64222","-70.30444","13.7","2013-11-11","41","46","35"
"USW00014764","43.64222","-70.30444","13.7","2013-11-12","37","44","24"
